headline	date	url	order	number_words	newspaper
Uma portuguesa e um alemão expulsos do Tibete	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	6	8	EXPRESSO
Queda de ultraleve provoca dois mortos	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	7	6	EXPRESSO
Advogado de defesa apresenta queixa contra Fernando Gomes	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	8	8	EXPRESSO
Inglaterra autoriza clonagem de embriões humanos	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	0	6	EXPRESSO
Parque Natural de Montesinhos em auto-gestão	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	10	6	EXPRESSO
Morreram 62 pessoas nas estradas portuguesas	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	11	6	EXPRESSO
Ambientalistas exigem investigação ao processo	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	12	5	EXPRESSO
Moradores impediram obras no novo interface rodo-ferroviário	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	13	7	EXPRESSO
Desemprego de farmacêuticos tende a aumentar	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	14	6	EXPRESSO
Polícia Judiciária detem um suspeito e identifica vinte outros	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	15	9	EXPRESSO
Carlos Alves pede adiamento de audiência para Setembro	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	16	8	EXPRESSO
Citricultores algarvios vão enterrar grandes quantidades de laranja	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	9	8	EXPRESSO
Panasqueira «vira» centro de lazer	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	13	5	EXPRESSO
Portucel: Belmiro contra   Armindo	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	10	6	EXPRESSO
Fraude do linho atinge empresas nacionais	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	9	6	EXPRESSO
Dez mil senegaleses aprendem língua portuguesa	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	8	6	EXPRESSO
Soares irrita PP em Timor	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	7	5	EXPRESSO
Governo não fez nada nos «pontos negros»	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	4	7	EXPRESSO
